username,profile,followers,following,published,day.of.week,time.of.day,tweet.gap,first.tweet,text,length,words,long.words,likes,retweets,source,media,media.binary,urls,urls.binary,hashtags,hashtags.binary,mentions,mentions.binary,quote,quote.verified,quote.likes,quote.retweets,is.retweet,retweet.username,covid,health,vaccine
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/5/6 17:20,Thursday,62402,22150,0,"[RAPPEL] ?? D¨¨s 8h demain matin, les personnes ?g¨¦es de 35 ans et plus peuvent prendre rendez-vous pour la vaccination contre la #COVID19 : https://t.co/FmCOzJtBNS. https://t.co/7TNbSm6gvP",163,26,2,112,51,Sprout Social,1,1,1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/4/27 19:05,Tuesday,68705,16808,0,"Cette ann¨¦e, la Semaine nationale de promotion de la vaccination rev¨ºt une importance particuli¨¨re, alors que l¡¯op¨¦ration de vaccination contre la #COVID19 se poursuit aupr¨¨s des groupes prioritaires. Prenez votre rendez-vous d¨¨s maintenant! https://t.co/p37KqZpdwt. ?? https://t.co/uZ7VuD319K",268,36,8,55,16,Sprout Social,1,1,1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/7/26 13:48,Monday,49717,8538,0,"#COVID19 D¨¨s le 1er ao?t, de nouveaux assouplissements entreront en vigueur partout au Qu¨¦bec. ??
Pour consulter les mesures en place dans votre r¨¦gion: https://t.co/uMwutls7Ls. https://t.co/LzvlboHx53",177,25,1,92,24,Sprout Social,1,1,1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/5/12 12:06,Wednesday,43575,3442,0,"?? Information importante concernant la campagne de vaccination contre la #COVID19 - Les personnes immunosupprim¨¦es pourront se pr¨¦valoir de la 2e dose 28 jours apr¨¨s la 1re. ??Aucune d¨¦marche ne sera n¨¦cessaire de leur part. 

Pour plus d'information : https://t.co/wGcgAXazbB https://t.co/5KtwXlNYHp",276,41,7,137,39,Sprout Social,1,1,1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/5/17 9:55,Monday,35720,82148,1,C'est parti! Nos ¨¦quipes fourmillent depuis ce matin pour l'#ouverture du site de #vaccination ¨¤ l'auto Ouest de l'?le! #VaccinationCovid @sante_qc @yulaeroport https://t.co/KSqd7Rz8aQ,140,23,1,88,12,Twitter Web App,0,0,0,0,2,1,1,1,0,NA,NA,NA,1,@ciusss_ouestmtl,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/6/5 12:02,Saturday,43350,3127,0,#COVID19 - 6 M de doses administr¨¦es ?????? https://t.co/xfd7VoiDGw,40,9,1,213,18,Sprout Social,1,1,0,0,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/6/9 16:41,Wednesday,60091,20215,0,#COVID19 - Le minist¨¨re de la Sant¨¦ et des Services sociaux fait le point sur les d¨¦marches permettant de devancer les deuxi¨¨mes doses de vaccin ?? Pour consulter le communiqu¨¦ complet: https://t.co/fDek7AJlwN.,210,32,2,26,6,Sprout Social,0,0,1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/6/8 11:10,Tuesday,40224,5464,0,"#COVID19 - En date du 7 juin, voici la situation au Qu¨¦bec: https://t.co/FxK4or5HJ4. https://t.co/i11YWYHLof",84,14,0,117,27,Sprout Social,1,1,1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/8/31 13:49,Tuesday,49785,9695,0,#COVI19 Les cas d¡¯exception obtiendront un passeport vaccinal ?? Pour consulter le communiqu¨¦ complet: https://t.co/gTcqhUjeXW,126,15,3,29,7,Sprout Social,0,0,1,1,1,1,0,0,0,NA,NA,NA,0,NA,0,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/5/14 11:10,Friday,40245,65732,1,"#COVID19 - En date du 13 mai, voici la situation au Qu¨¦bec: https://t.co/FxK4or5HJ4. https://t.co/wReepKlZsk",84,14,0,65,16,Twitter Web App,1,1,1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/6/25 11:05,Friday,39913,86327,1,#COVID19 Changement de la fr¨¦quence de diffusion des donn¨¦es quotidiennes li¨¦es ¨¤ la COVID-19 ?? Pour consulter le communiqu¨¦ complet: https://t.co/A82BXqnTxs,158,21,3,33,11,Twitter Web App,0,0,1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/5/4 16:47,Tuesday,60422,7230,0,"[RAPPEL] ?? D¨¨s 8h demain matin, les personnes ?g¨¦es de 40 ans et plus peuvent prendre rendez-vous pour la vaccination contre la #COVID19 : https://t.co/FmCOzJtBNS. https://t.co/WYLeVlFaH6",163,26,2,97,40,Sprout Social,1,1,1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/8/12 11:25,Thursday,41113,87413,1,"#COVID19 - En date du 11 ao?t, voici la situation au Qu¨¦bec : https://t.co/FxK4or5HJ4 

[Concours Gagner ¨¤ ¨ºtre vaccin¨¦!] - Au total, 3 890 115 personnes se sont inscrites au concours. https://t.co/msktxLcL4f",184,32,1,92,19,Sprout Social,1,1,1,1,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
@sante_qc,Minist¨¨re de la Sant¨¦ et des Services sociaux (#MSSS). Animation par la Direction des communications. N¨¦tiquette : https://t.co/7ItAQd88PC https://t.co/5TlW1rSKcL,73976,68,2021/7/30 14:34,Friday,52442,12640,0,#COVID19 - 11 M de doses administr¨¦es ?????? https://t.co/PLg9hbofth,41,9,1,187,20,Sprout Social,1,1,0,0,1,1,0,0,0,NA,NA,NA,0,NA,1,0,0
